ESACO;;;;;
120;;;;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.08;97;;
ch130.tsp;6110;6214;1.70213;;17.9549161
d198.tsp;15780;15846;0.418251;;
eil76.tsp;538;548;1.85874;;
fl1577.tsp;22249;35525;59.6701;;
kroA100.tsp;21282;22077;3.73555;;
lin318.tsp;42029;43431;3.33579;;
pcb442.tsp;50778;57000;12.2533;;
pr439.tsp;107217;119339;11.306;;
rat783.tsp;8806;13042;48.1036;;
u1060.tsp;224094;307380;37.1657;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.18;85;;
ch130.tsp;6110;6302;3.14239;;48.638611
d198.tsp;15780;16221;2.79468;;
eil76.tsp;538;550;2.23048;;
fl1577.tsp;22249;72973;227.983;;
kroA100.tsp;21282;22247;4.53435;;
lin318.tsp;42029;43778;4.16141;;
pcb442.tsp;50778;59023;16.2373;;
pr439.tsp;107217;119214;11.1895;;
rat783.tsp;8806;17720;101.226;;
u1060.tsp;224094;477068;112.887;;
ESACO;;;;;
120;;;;;
0.08;0.5;0.18;86;;
ch130.tsp;6110;6398;4.71358;;
d198.tsp;15780;16101;2.03422;;
eil76.tsp;538;541;0.557621;;
fl1577.tsp;22249;71341;220.648;;
kroA100.tsp;21282;22335;4.94784;;
