0.08;1;0.09;97
0.08;1.5;0.09;97
0.08;2;0.09;97
0.08;2.5;0.09;97
0.08;3;0.09;97
0.08;3.5;0.09;97
0.08;4;0.09;97
0.08;1;0.1;97
0.08;1.5;0.1;97
0.08;2;0.1;97
0.08;2.5;0.1;97
0.08;3;0.1;97
0.08;3.5;0.1;97
0.08;4;0.1;97
0.08;1;0.11;97
0.08;1.5;0.11;97
0.08;2;0.11;97
0.08;2.5;0.11;97
0.08;3;0.11;97
0.08;3.5;0.11;97
0.08;4;0.11;97
0.08;1;0.12;97
0.08;1.5;0.12;97
0.08;2;0.12;97
0.08;2.5;0.12;97
0.08;3;0.12;97
0.08;3.5;0.12;97
0.08;4;0.12;97
0.09;1;0.09;97
0.09;1.5;0.09;97
0.09;2;0.09;97
0.09;2.5;0.09;97
0.09;3;0.09;97
0.09;3.5;0.09;97
0.09;4;0.09;97
0.09;1;0.1;97
0.09;1.5;0.1;97
0.09;2;0.1;97
0.09;2.5;0.1;97
0.09;3;0.1;97
0.09;3.5;0.1;97
0.09;4;0.1;97
0.09;1;0.11;97
0.09;1.5;0.11;97
0.09;2;0.11;97
0.09;2.5;0.11;97
0.09;3;0.11;97
0.09;3.5;0.11;97
0.09;4;0.11;97
0.09;1;0.12;97
0.09;1.5;0.12;97
0.09;2;0.12;97
0.09;2.5;0.12;97
0.09;3;0.12;97
0.09;3.5;0.12;97
0.09;4;0.12;97
0.1;1;0.09;97
0.1;1.5;0.09;97
0.1;2;0.09;97
0.1;2.5;0.09;97
0.1;3;0.09;97
0.1;3.5;0.09;97
0.1;4;0.09;97
0.1;1;0.1;97
0.1;1.5;0.1;97
0.1;2;0.1;97
0.1;2.5;0.1;97
0.1;3;0.1;97
0.1;3.5;0.1;97
0.1;4;0.1;97
0.1;1;0.11;97
0.1;1.5;0.11;97
0.1;2;0.11;97
0.1;2.5;0.11;97
0.1;3;0.11;97
0.1;3.5;0.11;97
0.1;4;0.11;97
0.1;1;0.12;97
0.1;1.5;0.12;97
0.1;2;0.12;97
0.1;2.5;0.12;97
0.1;3;0.12;97
0.1;3.5;0.12;97
0.1;4;0.12;97
0.11;1;0.09;97
0.11;1.5;0.09;97
0.11;2;0.09;97
0.11;2.5;0.09;97
0.11;3;0.09;97
0.11;3.5;0.09;97
0.11;4;0.09;97
0.11;1;0.1;97
0.11;1.5;0.1;97
0.11;2;0.1;97
0.11;2.5;0.1;97
0.11;3;0.1;97
0.11;3.5;0.1;97
0.11;4;0.1;97
0.11;1;0.11;97
0.11;1.5;0.11;97
0.11;2;0.11;97
0.11;2.5;0.11;97
0.11;3;0.11;97
0.11;3.5;0.11;97
0.11;4;0.11;97
0.11;1;0.12;97
0.11;1.5;0.12;97
0.11;2;0.12;97
0.11;2.5;0.12;97
0.11;3;0.12;97
0.11;3.5;0.12;97
0.11;4;0.12;97
0.12;1;0.09;97
0.12;1.5;0.09;97
0.12;2;0.09;97
0.12;2.5;0.09;97
0.12;3;0.09;97
0.12;3.5;0.09;97
0.12;4;0.09;97
0.12;1;0.1;97
0.12;1.5;0.1;97
0.12;2;0.1;97
0.12;2.5;0.1;97
0.12;3;0.1;97
0.12;3.5;0.1;97
0.12;4;0.1;97
0.12;1;0.11;97
0.12;1.5;0.11;97
0.12;2;0.11;97
0.12;2.5;0.11;97
0.12;3;0.11;97
0.12;3.5;0.11;97
0.12;4;0.11;97
0.12;1;0.12;97
0.12;1.5;0.12;97
0.12;2;0.12;97
0.12;2.5;0.12;97
0.12;3;0.12;97
0.12;3.5;0.12;97
0.12;4;0.12;97
0.13;1;0.09;97
0.13;1.5;0.09;97
0.13;2;0.09;97
0.13;2.5;0.09;97
0.13;3;0.09;97
0.13;3.5;0.09;97
0.13;4;0.09;97
0.13;1;0.1;97
0.13;1.5;0.1;97
0.13;2;0.1;97
0.13;2.5;0.1;97
0.13;3;0.1;97
0.13;3.5;0.1;97
0.13;4;0.1;97
0.13;1;0.11;97
0.13;1.5;0.11;97
0.13;2;0.11;97
0.13;2.5;0.11;97
0.13;3;0.11;97
0.13;3.5;0.11;97
0.13;4;0.11;97
0.13;1;0.12;97
0.13;1.5;0.12;97
0.13;2;0.12;97
0.13;2.5;0.12;97
0.13;3;0.12;97
0.13;3.5;0.12;97
0.13;4;0.12;97
0.14;1;0.09;97
