ch130.tsp; 6110; 0% 
d198.tsp; 15786; 0.0380228% 
eil76.tsp; 538; 0% 
fl1577.tsp; 22491; 1.08769% 
kroA100.tsp; 21282; 0% 
lin318.tsp; 42550; 1.23962% 
pcb442.tsp; 51370; 1.16586% 
pr439.tsp; 108027; 0.755477% 
rat783.tsp; 9040; 2.65728% 
u1060.tsp; 229984; 2.62836% 
